length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time
7,2,1,1,5,0,0,2.807354922,1,1,3,0,10225
13,4,4,5,7,0,0,3.546593564,0.697177417,1,5,0,8766
12,2,3,4,7,0,0,3.418295834,1,1,1,2223,9862
7,4,1,1,5,0,0,2.521640636,0.659083249,1,2,930,11324
18,2,3,8,9,0,0,3.281036113,1,1,2,491,5844
7,4,1,2,4,0,0,2.521640636,0.966666667,1,2,0,10226
11,4,2,4,6,0,0,3.027169118,0.674058025,1,2,2277,10591
14,2,1,4,9,0,0,3.093069208,1,1,7,0,7670
16,2,2,4,11,0,0,3.452819531,1,1,0,464,5113
7,8,1,2,4,0,0,2.521640636,0.648798335,1,2,1331,10227
15,2,3,4,10,0,0,3.773557262,1,1,1,0,8036
10,2,2,2,7,0,0,3.121928095,1,1,1,0,2922
9,4,3,3,5,0,0,3.169925001,0.673920533,1,5,0,5479
9,2,3,3,5,0,0,3.169925001,1,1,5,969,12418
9,4,3,3,5,0,0,3.169925001,0.696832887,1,5,806,12419
12,9,3,3,8,0,0,3.418295834,0.858005602,0,0,0,365
14,4,3,5,8,0,0,3.235926351,0.696510825,1,0,1084,10957
28,4,4,9,16,0,2,4.110577243,0.697153878,1,0,0,1826
8,4,1,1,6,0,0,2.75,0.674426094,1,1,0,0
5,4,1,1,3,0,0,2.321928095,0.674478266,0,0,0,5843
5,4,0,0,4,0,0,2.321928095,0.681488971,1,5,0,10278
12,2,3,4,7,0,0,3.418295834,1,0,0,49,1826
11,4,3,3,7,0,0,3.277613437,0.666650617,1,2,0,5844
14,2,4,4,9,0,0,3.235926351,0,0,5,0,2191
19,10,4,7,11,0,0,3.366091329,0.670532314,1,5,1793,11143
16,8,4,6,9,0,0,3.452819531,0.578240843,1,1,0,10959
12,4,3,4,7,0,0,3.251629167,0.719508363,1,7,1227,8766
12,2,2,2,8,1,0,3.584962501,0,0,0,0,2557
20,3,3,6,12,0,1,3.88418372,0.958333333,0,0,0,1096
18,3,3,4,12,0,1,3.683542362,0.958333333,0,0,0,1096
12,5,2,2,9,0,0,3.418295834,0.809229196,0,0,0,2557
11,2,2,2,8,0,0,3.277613437,0,0,0,0,1096
15,6,3,6,8,0,0,3.456564762,0.851272401,0,0,0,2922
15,6,3,6,8,0,0,3.240223929,0.851272401,0,0,0,2922
12,6,2,2,9,0,0,3.251629167,0.86016129,0,0,0,2192
6,2,2,2,3,0,0,2.584962501,1,1,1,306,10225
15,2,4,7,6,0,0,3.189898095,1,1,0,0,1826
12,3,3,4,6,0,0,3.251629167,0.784313725,1,1,0,0
14,2,4,5,8,0,0,3.235926351,1,1,2,0,10344
12,2,3,3,8,0,0,3.251629167,1,1,5,1891,5113
11,2,3,4,6,0,0,3.277613437,1,0,0,49,6573
9,6,2,3,4,0,0,2.503258335,0.553299028,1,1,523,0
13,2,4,4,8,0,0,3.39274741,1,1,2,0,10118
21,2,4,9,11,0,0,3.558518613,1,1,0,0,1826
9,6,1,4,4,0,0,2.05881389,0.688840789,1,1,75,8360
9,2,2,3,5,0,0,2.725480557,1,1,5,0,10592
23,4,4,7,13,0,2,3.588354347,0.667348832,0,0,0,2557
10,6,3,3,6,0,0,2.846439345,0.86016129,1,5,1013,10592
13,6,4,5,7,0,0,3.026986833,0.86016129,0,0,0,1096
20,12,4,7,12,0,0,3.821928095,0.571794534,0,0,0,3653
12,4,4,5,6,0,0,3.418295834,0.682178032,1,5,492,5844
13,3,3,4,8,0,0,3.085055103,0.95,1,1,2503,8766
15,2,4,7,7,0,0,3.189898095,1,1,1,0,8670
14,3,2,5,7,0,1,2.985228136,0.933333333,1,0,2411,0
17,2,4,5,10,0,0,3.499227547,1,1,1,0,0
6,6,1,1,4,0,0,1.79248125,0.839112903,1,2,990,9169
11,6,2,2,8,0,0,3.095795255,0.642754558,1,2,2274,11322
7,6,1,1,5,0,0,2.521640636,0.857204301,1,4,958,10215
7,3,2,2,4,0,0,2.807354922,0.894358974,1,9,14,5844
13,2,3,4,8,0,0,3.180832987,1,1,2,41,11322
13,4,3,3,8,0,1,3.39274741,0.933333333,0,1,0,5479
9,5,1,1,5,2,0,2.947702779,0.81202957,0,0,0,7305
9,2,1,1,5,2,0,2.947702779,0,0,1,0,4748
13,0,2,3,9,0,0,3.238901257,0,0,0,0,2922
12,5,3,3,8,0,0,3.251629167,0.809229196,0,0,0,1826
11,2,1,1,9,0,0,3.277613437,1,1,0,0,2557
11,2,1,1,8,1,0,3.027169118,0,0,0,0,2922
11,2,1,1,8,1,0,3.027169118,0,0,0,0,2922
11,2,1,1,8,1,0,3.027169118,0,0,0,0,2922
16,4,3,4,11,0,0,3.5,0.947368421,0,0,0,7305
11,5,4,4,6,0,0,3.277613437,0.944444444,1,7,2796,6209
11,12,2,4,6,0,0,3.027169118,0.732323232,0,0,0,6574
10,2,3,3,6,0,0,3.121928095,1,1,2,0,10225
10,2,3,3,6,0,0,3.121928095,1,0,0,49,12420
12,2,3,5,6,0,0,2.855388542,1,1,5,55,0
13,4,2,4,8,0,0,3.026986833,0.689079879,1,7,632,6209
11,2,2,2,8,0,0,3.095795255,1,1,0,225,1461
14,3,4,5,8,0,0,3.378783493,0.947368421,1,5,1053,6110
14,4,3,4,9,0,0,3.324862958,0.947368421,1,1,1258,11688
9,2,2,2,6,0,0,2.725480557,1,1,5,384,12012
15,4,4,6,8,0,0,3.373557262,0.858567291,1,1,0,11688
13,2,3,4,8,0,0,3.39274741,1,1,1,263,6209
13,4,3,4,8,0,0,3.238901257,0.665800525,1,1,0,3653
9,5,2,3,5,0,0,2.419381946,0.504526193,1,3,769,14246
14,4,3,5,8,0,0,3.182005815,0.696142755,1,1,0,9131
10,2,3,3,6,0,0,3.121928095,1,1,1,2934,12053
10,4,2,2,7,0,0,3.321928095,0.831303064,1,0,0,3287
13,4,3,3,9,0,0,3.238901257,0.704423794,1,1,997,10226
19,2,4,6,12,0,0,3.431623566,1,1,2,494,10226
10,4,2,3,6,0,0,2.921928095,0.666329626,1,5,973,11689
12,0,2,3,7,1,0,3.084962501,0,0,0,0,4383
9,4,2,3,5,0,0,2.725480557,0.696907527,1,4,420,9496
15,4,3,5,9,0,0,3.456564762,0.831303064,1,0,884,0
12,4,4,4,7,0,0,3.418295834,0.838888889,0,0,0,6209
18,3,4,5,11,0,1,3.725480557,0.956521739,1,0,1106,5479
14,5,4,5,8,0,0,3.378783493,0.947368421,1,4,1970,8766
14,5,4,5,8,0,0,3.521640636,0.947368421,1,4,0,8766
20,2,5,7,12,0,0,3.646439345,1,1,0,0,2557
22,4,5,7,14,0,0,4.004886164,0.855072464,1,0,6,4749
14,4,3,4,9,0,0,3.378783493,0.65924321,0,0,0,6574
14,4,4,5,8,0,0,3.521640636,0.674822762,0,5,0,5479
11,6,3,3,7,0,0,3.277613437,0.855733809,1,5,2531,8766
13,4,4,4,8,0,0,3.546593564,0.681304401,0,5,0,4748
12,2,4,5,6,0,0,3.418295834,0,0,0,0,1096
7,3,2,2,4,0,0,2.807354922,0.944444444,0,0,0,7673
7,3,2,3,3,0,0,2.521640636,0.95,1,5,344,15438
8,4,1,1,6,0,0,2.405639062,0.947368421,1,4,2382,10226
8,4,2,2,5,0,0,2.75,0.966666667,1,1,4329,11689
7,4,1,1,5,0,0,2.235926351,0.666329626,1,2,2577,12417
16,4,3,3,11,0,0,3.375,0.831303064,1,1,2873,8401
8,4,2,3,4,0,0,2.75,0.666835187,1,5,656,9496
12,2,4,5,6,0,0,3.251629167,1,1,5,1392,5479
13,4,3,5,7,0,0,2.968918564,0.884057971,1,5,6154,4383
17,4,4,6,10,0,0,3.4548224,0.673947481,1,5,2264,5113
13,2,3,4,8,0,0,3.238901257,1,1,4,1255,6940
12,6,5,6,5,0,0,3.418295834,0.599938753,0,2,0,15366
6,4,2,2,3,0,0,2.584962501,0.947368421,1,2,69,4383
11,5,2,3,7,0,0,2.663532755,0.947368421,1,2,0,10957
11,5,3,3,7,0,0,3.095795255,0.947368421,1,8,0,10226
18,4,3,5,11,0,1,3.614369446,0.705113925,1,0,0,7670
16,2,3,6,8,0,0,3.030639062,1,1,2,453,6574
12,4,3,4,7,0,0,3.084962501,0.651514811,1,5,28,6209
19,4,2,5,13,0,0,2.800044618,0.947368421,1,2,1228,11322
13,4,3,4,8,0,0,3.238901257,0.944444444,1,2,323,10606
17,5,4,6,10,0,0,3.248365047,0.712504213,0,5,0,3287
14,8,2,4,9,0,0,3.235926351,0.607142857,1,5,0,9495
11,4,3,4,6,0,0,2.913977073,0.681928146,1,1,0,8128
18,2,4,9,8,0,0,3.530493057,1,1,4,611,2557
