length,n_ns,n_vowels,n_vowel_chars,n_constant_chars,n_num,n_other_chars,entropy,ns_similarity,n_countries,n_mx,n_labels,life_time,label
16,0,3,5,10,0,0,3.452819531114783,0.0,0,0,0,365,0
8,0,1,1,6,0,0,2.75,0.0,0,0,27,0,1
13,4,3,4,8,0,0,3.180832987,0.666674156,1,1,1230,6575,0
8,4,3,5,2,0,0,2.5,0.6735524633401276,1,1,2107,5113,0
15,10,4,5,9,0,0,3.323231428797621,0.938624338624338,0,1,0,9497,0
10,6,1,1,8,0,0,3.1219280948873624,0.9333333333333336,0,0,0,4383,0
18,2,4,8,9,0,0,3.683542362433231,1.0,1,2,1290,6979,0
14,0,4,4,7,1,0,3.521640636343318,0.0,0,0,0,10593,1
12,8,3,5,6,0,0,3.2516291673878226,0.5767320085929108,2,1,481,11689,0
9,5,4,4,4,0,0,3.169925001442312,0.9285714285714286,1,2,2,10593,0
16,3,3,6,9,0,0,3.327819531114783,0.8258064516129032,1,0,1035,4748,0
15,0,3,4,9,0,0,3.506890595608519,0.0,0,0,0,0,1
18,0,4,6,11,0,0,3.8365916681089782,0.0,0,0,0,0,1
11,4,5,5,5,0,0,3.459431618637298,0.9411764705882354,1,1,118,6209,0
20,0,4,9,10,0,0,3.6219280948873616,0.0,0,0,0,0,1
9,0,3,3,5,0,0,2.94770277922009,0.0,0,0,27,0,1
11,2,3,5,5,0,0,2.663532755,1.0,1,2,5905,10781,0
19,2,5,5,13,0,0,3.997670276487612,1.0,1,5,721,5478,1
17,2,3,6,10,0,0,3.381580488,1.0,1,1,1153,8400,0
7,3,2,3,3,0,0,2.235926350629033,0.8245614035087719,1,2,0,6939,0
16,4,4,5,10,0,0,3.75,0.7456140350877193,1,2,449,1096,0
10,3,2,3,6,0,0,3.1219280948873624,0.5708061002178649,1,1,85,5479,0
15,4,1,3,9,0,2,3.323231428797621,0.95,0,0,0,2922,0
17,0,4,7,9,0,0,3.29277019393699,0.0,0,0,0,731,1
13,2,3,5,6,0,1,3.180832987205441,1.0,1,1,1920,5843,0
14,0,1,2,9,1,0,3.235926350629033,0.0,0,0,41,0,1
27,2,5,11,14,0,0,3.661932872373582,1.0,1,3,1691,0,0
8,2,3,4,3,0,0,2.75,1.0,1,7,5404,0,0
15,2,3,5,9,0,0,3.456564762130954,1.0,1,0,871,365,0
20,2,5,8,11,0,0,3.546439344671016,1.0,1,1,931,6940,0
20,2,4,9,10,0,0,3.308694969562842,1.0,1,0,1735,1096,0
21,0,3,7,11,0,2,3.463280517810811,0.0,0,0,0,0,1
6,4,1,1,4,0,0,2.584962500721156,0.682286285711771,1,5,3046,11322,0
20,2,4,6,13,0,0,3.821928094887362,1.0,1,2,1490,2192,0
12,0,2,4,7,0,0,3.084962501,0.0,1,0,0,0,1
18,0,4,7,9,0,0,3.4613201402110083,0.0,0,0,0,0,1
10,0,2,4,5,0,0,2.721928094887362,0.0,0,0,0,0,1
18,0,5,6,11,0,0,3.725480556997868,0.0,0,0,0,0,1
11,3,3,3,7,0,0,3.095795255000934,0.9444444444444444,1,1,640,5113,1
14,0,3,4,9,0,0,3.182005815,0.0,1,0,0,0,1
14,0,2,2,9,2,0,3.664497779200461,0.0,0,0,0,365,0
9,2,2,3,5,0,0,2.9477027792200903,1.0,1,1,976,5844,0
11,0,3,3,7,0,0,3.459431619,0.0,1,0,0,0,1
20,2,4,7,12,0,0,3.684183719779189,1.0,1,2,7159,1826,0
18,2,4,6,11,0,0,3.725480557,1.0,1,0,81,365,1
14,2,2,3,7,3,0,3.235926350629033,1.0,1,0,1365,365,0
11,4,3,3,7,0,0,3.277613437,0.875,1,2,0,10226,0
14,2,3,3,9,0,0,2.8423709931771084,1.0,1,3,166,730,0
15,0,3,5,9,0,0,3.506890595608519,0.0,0,0,0,0,1
14,4,4,6,7,0,0,2.985228136,0.941176471,1,5,368,5844,0
10,4,3,4,5,0,0,2.9219280948873623,0.8313030638612035,0,0,0,11322,0
12,0,4,6,4,0,0,3.084962500721156,0.0,1,0,0,6209,1
13,4,4,4,7,0,1,3.546593564294939,0.5388116861801072,1,1,0,5843,1
15,0,2,3,10,0,1,3.373557262275185,0.0,0,0,27,0,1
14,4,3,5,8,0,0,3.235926351,0.696510825,1,0,1084,10957,0
11,4,2,3,7,0,0,3.0957952550009344,0.9333333333333336,1,3,289,9861,0
14,0,3,3,10,0,0,3.664497779,0.0,1,0,0,0,1
17,0,3,6,10,0,0,3.2927701939369904,0.0,0,0,27,0,1
11,0,3,5,5,0,0,3.0957952550009344,0.0,0,0,0,0,1
12,2,3,5,6,0,0,2.9182958340544896,1.0,1,1,0,5479,1
11,0,3,3,6,0,1,3.277613436819116,0.0,0,0,0,0,1
16,4,3,4,11,0,0,3.5,0.9473684210526316,0,0,0,6940,0
12,2,2,4,6,0,0,2.688721875540867,1.0,1,1,0,5113,1
15,2,4,5,9,0,0,3.4565647621309536,1.0,1,2,22,9862,1
22,0,5,8,13,0,0,3.788754914,0.0,1,0,0,0,1
19,2,5,9,8,0,0,3.471354487013929,1.0,1,0,314,0,1
18,2,4,6,11,0,0,3.614369445886756,1.0,1,2,0,365,1
26,0,5,10,15,0,0,3.546593564,0.0,1,0,0,0,1
17,4,5,7,9,0,0,3.7345216647797512,0.9090909090909092,1,1,2782,3672,0
13,0,4,5,7,0,0,3.546593564294939,0.0,0,0,0,0,1
11,4,3,4,6,0,0,3.095795255,0.70605712,0,5,0,2922,0
10,2,2,3,5,1,0,3.1219280948873624,1.0,1,0,0,2192,0
